Recombinations
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 136, at = 55, to = 54)], startingpoint = 55, pathevaluation = 0.9999999999081175)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 82, at = 20, to = 11)], startingpoint = 20, pathevaluation = 0.9999999976499332)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 19, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 94, at = 15, to = 31)], startingpoint = 15, pathevaluation = 0.4999999999996378)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 159, at = 68, to = 52)], startingpoint = 68, pathevaluation = 0.499999997454046)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 158, at = 36, to = 4)], startingpoint = 36, pathevaluation = 0.9999999999914698)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 158, at = 21, to = 58)], startingpoint = 21, pathevaluation = 0.9999999902590658)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 167, at = 37, to = 58)], startingpoint = 37, pathevaluation = 0.9999999700240556)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 139, at = 43, to = 27)], startingpoint = 43, pathevaluation = 0.9999999999516663)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 69, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 154, at = 47, to = 23)], startingpoint = 47, pathevaluation = 0.9999999999985859)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 60, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 95, at = 34, to = 18)], startingpoint = 34, pathevaluation = 0.999801529367428)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 190, at = 25, to = 75)], startingpoint = 25, pathevaluation = 0.9999999999914937)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 98, at = 10, to = 65)], startingpoint = 10, pathevaluation = 0.9999999999671796)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 142, at = 21, to = 22)], startingpoint = 21, pathevaluation = 0.9999999999977451)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 204, at = 52, to = 44)], startingpoint = 52, pathevaluation = 0.49164479479813783)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 163, at = 71, to = 27)], startingpoint = 71, pathevaluation = 0.6865985732331362)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 163, at = 47, to = 57)], startingpoint = 47, pathevaluation = 0.9363250002211893)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 120, at = 10, to = 34)], startingpoint = 10, pathevaluation = 0.9999999999986625)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 148, at = 47, to = 71)], startingpoint = 47, pathevaluation = 0.9999999999985972)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 156, at = 54, to = 29)], startingpoint = 54, pathevaluation = 0.56226967680286)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 183, at = 62, to = 18)], startingpoint = 62, pathevaluation = 0.40518012002461967)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 143, at = 44, to = 31)], startingpoint = 44, pathevaluation = 0.5000000000276765)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 204, at = 33, to = 43)], startingpoint = 33, pathevaluation = 0.9999996368832659)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 104, at = 74, to = 55)], startingpoint = 74, pathevaluation = 0.9999999999949055)"
